Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier,Brands Carried,Score Reasons,Score Breakdown
"CAPTIVATED CLOSET (@captivatedcloset) · Jacksonville, FL",Jacksonville,Florida,USA,https://www.instagram.com/captivatedcloset/,@captivatedcloset,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
St. Johns Town Center - Jacksonville,Jacksonville,Florida,USA,https://stores.jdsports.com/fl/jacksonville/st.-johns-town-center.html,@jdsportsus,,(904) 997-8967,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
SOUL2SOLE (@soul2solejax) • Instagram photos and videos,Jacksonville,Florida,USA,https://www.instagram.com/soul2solejax/?hl=en,@soul2solejax,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
5+ of the Top Boutiques in Jacksonville,Jacksonville,Florida,USA,https://www.unation.com/stuff-to-do/boutiques-in-jacksonville/?srsltid=AfmBOoqeELCCNT0uFOrdfSR4MPUzj3capN14pwm6YHumQEe6Bl3Swqea,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Leveled Up Sneaker Boutique (@leveledupstore),Jacksonville,Florida,USA,https://www.instagram.com/leveledupstore/?hl=en,@leveledupstore,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"🏁Final Lap🏁 (@finallapshop) · Jacksonville, FL",Jacksonville,Florida,USA,https://www.instagram.com/finallapshop/,@finallapshop,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
New HellStar In Store & Online Now! Sport Hoodie sz XL- ...,Boca Raton,Florida,USA,https://www.instagram.com/p/CyysJTSJc7i/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Brands at Town Center at Boca Raton® - Simon,Boca Raton,Florida,USA,https://www.simon.com/brands/center/town-center-at-boca-raton,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
HELLSTAR AVAILABLE IN STORE AND ONLINE,Boca Raton,Florida,USA,https://www.instagram.com/p/DA3xcdDPneI/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Hellstar Miami Boutiques,Boca Raton,Florida,USA,https://www.instagram.com/popular/hellstar-miami-boutiques/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
SUPREME MOTORS of Boca Raton,Boca Raton,Florida,USA,https://www.braunability.com/us/en/handicap-mobility-van-dealer-locator/dealers/supreme-motors/fl/boca-raton.html,@braunability,js-cookie@3.0.5,800-488-0359,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
"Supreme Deals Inc Company Profile | Boca Raton, Florida",Boca Raton,Florida,USA,https://www.dnb.com/business-directory/company-profiles.supreme_deals_inc.b3c0a85f08df1ec10714e8f571593872.html,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Supreme Distributors Co.,Boca Raton,Florida,USA,https://www.puritywholesale.com/supreme/,@info,info@pwg-inc.com,800-323-6838,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Find a store,Boca Raton,Florida,USA,https://www.rhone.com/store-locator/?srsltid=AfmBOoo5pl2MaoztfCxNW4_gS2KJRTpnmY6LKNwdswxjax2Xmr-NIXnR,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Raise The Bar Menswear: From the beach to black tie,Boca Raton,Florida,USA,https://rtbboca.com/,@media,RTB_Logo_245x@2x.png,1626800338,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Request Boutique Boca (@requestboutiquebocaraton),Boca Raton,Florida,USA,https://www.instagram.com/requestboutiquebocaraton/,@requestboutiquebocaraton,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
The Boca Raton,Boca Raton,Florida,USA,https://www.rhone.com/locations/the-boca-raton/?srsltid=AfmBOoriSPYTDg7JfVUFVZuTlr_uL8KHjW2B2jDLTsC07V-CjNn8ZV7X,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
RH Outlet Boca Raton - RH Teen,Boca Raton,Florida,USA,https://rhteen.rh.com/ca/en/store-locations/654.jsp,@rh.com.,,,,,2026-04-16,,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
"Edikted - A Shopping Center in Boca Raton, FL - Simon",Boca Raton,Florida,USA,https://www.simon.com/mall/town-center-at-boca-raton/stores/edikted,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Our Locations,Boca Raton,Florida,USA,https://www.revivalboutiques.com/pages/our-locations,@media,revival-logo_1_600x@2x.png,7764205678,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Addict - Bal Harbour Shops Pop-up,Boca Raton,Florida,USA,https://www.balharbourshopspopup.com/brand/addict/,@balharbourshops_popup,,1527340294,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Request Boutique Boca | Request The Place Where Everyone ...,Boca Raton,Florida,USA,https://www.instagram.com/reel/DPUcljljbjI/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Edikted on Instagram: ""boca babes!! our NEW boca store is ...",Boca Raton,Florida,USA,https://www.instagram.com/reel/DNHgdSINgPI/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
https://www.revivalboutiques.com/ – Revival Boutique,Boca Raton,Florida,USA,https://www.revivalboutiques.com/,@revivalboutiques,revival-logo_1_600x@2x.png,7764205678,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Jessie Boutique: Jessie a Fashion Boutique,Boca Raton,Florida,USA,https://jessieboutique.com/?srsltid=AfmBOoqWZ70IfbGJ5cBgFv7sRNiRq6aNsOV3-EybR4K7g2-uzFFn_c2v,@jessieboutique,cs@jessieboutique.com,1613526311,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Fancy James Boutique Ⓡ (@fancyjamesboutique),Boca Raton,Florida,USA,https://www.instagram.com/fancyjamesboutique/,@fancyjames,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Wish & Shoes Boca Raton, Florida",Boca Raton,Florida,USA,https://www.wishandshoes.com/wish-shoes-boca-raton-florida/,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Boca Raton Shoe & Sneaker Store | Boca Town Center JD ...,Boca Raton,Florida,USA,https://stores.jdsports.com/fl/bocaraton/boca-town-center.html,@jdsportsus,,(561) 210-0422,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
ggdb / boca raton town center,Boca Raton,Florida,USA,https://www.goldengoose.com/us/en/stores/boca-raton/118,@goldengoose,johndoe@some.com,1776353947,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
best prices in south florida available in-store and online,West Palm Beach,Florida,USA,https://www.instagram.com/p/C6wb8aKOpk8/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Atlas 🔝 Supplier (@atlasresells) · West Palm Beach, FL",West Palm Beach,Florida,USA,https://www.instagram.com/atlasresells/,@atlasresells,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
SNEAK PEEK LUXURY | Sneakers & Streetwear 👟 | 💫 Hellstar ...,West Palm Beach,Florida,USA,https://www.instagram.com/reel/DKhVoN-OFww/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
West Palm Beach (FL),West Palm Beach,Florida,USA,https://locations.dtlr.com/fl/westpalmbeach/west-palm-beach-fl.html,@dtlrofficial,custserv@dtlr.com,1537521453,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Sports,West Palm Beach,Florida,USA,https://hellstar.com/collections/sports,@HELLSTAR,,5230780330,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Sp5der + Denim WPB FL DM FOR AVAILABILITY ✈️ ...,West Palm Beach,Florida,USA,https://www.instagram.com/reel/DV2E5NrES0Y/,@atlasresells,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
New Hellstar Sports just touched down!,West Palm Beach,Florida,USA,https://www.instagram.com/p/DLGGeCRS6pf/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Hellstar T-Shirt,West Palm Beach,Florida,USA,https://www.ebay.com/itm/317040649610,@ebay,,2026041419,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Find a Dealer,West Palm Beach,Florida,USA,https://supremetowboats.com/find-a-dealer/,@supremeboats,,1470411083,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Supreme is opening its first-ever store in Miami tomorrow,West Palm Beach,Florida,USA,https://www.timeout.com/miami/news/supreme-is-opening-its-first-ever-store-in-miami-tomorrow-040925,@context,,1105237622,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
New Supreme store just dropped in Miami's Design District ...,West Palm Beach,Florida,USA,https://www.instagram.com/reel/DIvqWFEO5gJ/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
RH West Palm,West Palm Beach,Florida,USA,https://rh.com/us/en/westpalm,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Urban Wear Connection (@urbanwearconnection),West Palm Beach,Florida,USA,https://www.instagram.com/urbanwearconnection/,@urbanwearconnection,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Cold Shoulder Kicks: High-end sneaker resell boutique – PB,West Palm Beach,Florida,USA,https://cskicks.com/?srsltid=AfmBOopWvk105nUAQ_b7y8Iky762fF3mFh9zfAC1ObvNtOtdH3XHTQqX,@coldshoulderkicks,,1721427898,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"HYPE STREETWEAR (HYPEGRL) - West Palm Beach, FL",West Palm Beach,Florida,USA,https://nextdoor.com/pages/hypegrl-west-palm-beach-fl-1/,@supports,next_expl_2_insightful16@3x-2e582d8619ece3f820ec8705c624749e.png,1146116819,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Discovering the Finest Boutiques in West Palm Beach,West Palm Beach,Florida,USA,https://www.theberkeleypalmbeach.com/discovering-the-finest-boutiques-in-west-palm-beach/,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Palm Beach's #1 Urban/Streetwear boutique clothing store ...,West Palm Beach,Florida,USA,https://www.instagram.com/p/DWrPzbdDnIM/,@urbanwear45thst,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
https://impossiblekicks.com/?utm_source=gmb_palmbe...,West Palm Beach,Florida,USA,https://impossiblekicks.com/?utm_source=gmb_palmbeach&utm_medium=organic&srsltid=AfmBOoqJX1FCAYSQsx3XMlE70RL5iJzHki6qcMRR79YdXssMIet4i2Xw,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Cold Shoulder Kicks- Palm Beach (@coldshoulderkicks),West Palm Beach,Florida,USA,https://www.instagram.com/coldshoulderkicks/,@coldshoulderkicksftl,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"This is a PSA addressing all the rumors. Yes, the West Palm ...",West Palm Beach,Florida,USA,https://www.instagram.com/reel/DQCJf5CjaCU/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
𝐑 𝐄 𝐋 𝐔 𝐗 𝐄 - 𝐖𝐄𝐒𝐓 𝐏𝐀𝐋𝐌 𝐁𝐄𝐀𝐂𝐇 (@reluxe),West Palm Beach,Florida,USA,https://www.instagram.com/reluxe/,@reluxe,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Wellington Green - West Palm Beach,West Palm Beach,Florida,USA,https://stores.jdsports.com/fl/westpalmbeach/wellington-green.html,@jdsportsus,,(561) 422-8933,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Creamstreetwear carries the latest in men's streetwear brands ...,West Palm Beach,Florida,USA,https://www.creamstreetlife.com/,@creamstreetwear,,2570940018,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Almighty Kicks (@almightykicksmiami) · Miami, FL",Hialeah,Florida,USA,https://www.instagram.com/almightykicksmiami/,@almightykicksmiami,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Rhude Miami Store Location,Hialeah,Florida,USA,https://www.instagram.com/popular/rhude-miami-store-location/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Westland Mall on Instagram: ""New drop alert: CATCH is ...",Hialeah,Florida,USA,https://www.instagram.com/reel/DKZ4PaWviuE/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Rep Your City Clothing - Hialeah Street Wear,Hialeah,Florida,USA,https://www.hialeahstreetwear.com/?zip=Hollywood%2C%20FL&add-to-cart=592,@media,,1771523124,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"CITITRENDS at 901 East 10th Ave Hialeah, FL",Hialeah,Florida,USA,https://locations.cititrends.com/fl/hialeah/901-east-10th-ave.html,@wearecititrends,,2079328097,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
The Fashion House Miami Hialeah,Hialeah,Florida,USA,https://www.instagram.com/popular/the-fashion-house-miami-hialeah/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
STREETWISE CLOTHING | Streetwear & Urban Hip-Hop ...,Hialeah,Florida,USA,https://streetwisegear.com/?srsltid=AfmBOop2VPb7DssyAlM50xwqcbHxaOZ21icZWv0i_FGjOrav0drMaxJ2,@streetwisegear,onlinesales@streetwisegear.com,1613149822,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Like Boutique 📍693West 49ST Hialeah Fl 33012 📍8150 ...,Hialeah,Florida,USA,https://www.instagram.com/tv/CTBfnpzDCNe/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Sneaker Shop Hialeah FL,Hialeah,Florida,USA,https://www.shopwss.com/pages/hialeah-store-159?srsltid=AfmBOopwIra5gLeb_wgcrqzkLcgdRqgd2EgGB5LQ1s7z8xaCVBfPMg1y,@ShopWSS,help@shopwss.com,1759352978,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
East Hialeah Marketplace - Miami Footwear & Apparel Store,Hialeah,Florida,USA,https://locations.dtlr.com/fl/miami/east-hialeah-marketplace.html,@dtlrofficial,custserv@dtlr.com,1537521453,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
the shoppes of highland,Hialeah,Florida,USA,https://www.famousfootwear.com/stores/fl/hialieah/33018/the-shoppes-of-highland-03631,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
"Handpicked Sneakers in Hialeah, FL United States",Hialeah,Florida,USA,https://maps.apple.com/place?place-id=I2B6641D2FEAA573E,@handpickedblvd,,0089933000,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"APS Streetwear - Hialeah, FL",Hialeah,Florida,USA,https://nextdoor.com/pages/aps-streetwear-hialeah-fl/,@supports,next_expl_2_insightful16@3x-2e582d8619ece3f820ec8705c624749e.png,1146116819,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
"Westland Mall (@shopwestland) · Hialeah, FL",Hialeah,Florida,USA,https://www.instagram.com/shopwestland/,@shopwestland,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Basketball Streetwear in Hialeah, FL - Westland Mall",Hialeah,Florida,USA,https://www.shoppingwestlandmall.com/buy/landing/basketball-streetwear,@shopwestland,,3521171569,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Teen Mall Jobs, Employment in Hollywood, FL",Coral Gables,Florida,USA,"https://www.indeed.com/q-teen-mall-l-hollywood,-fl-jobs.html",,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Supreme Miami,Coral Gables,Florida,USA,https://www.instagram.com/popular/supreme-miami/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Business Brokers in Coral Gables | Sell or Buy a Business ...,Coral Gables,Florida,USA,https://supremebusinessbrokerscoralgables.com/,@lovable_dev,,1762019008,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Men | Rhude,Coral Gables,Florida,USA,https://www.saksfifthavenue.com/c/men/rhude,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Discover the Rhude Collection,Coral Gables,Florida,USA,https://www.a-ma-maniere.com/collections/rhude?srsltid=AfmBOorsvRNt5zS5Km_vgJZ8LlNftj6jBCO593xxaDpIliGmngLSy8vV,@maniere_usa,,1422991689,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"New Rhude, Palm Angels & Casablanca Socks In Store & ...",Coral Gables,Florida,USA,https://www.instagram.com/p/C2QL8O-JI7q/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Rhude All Mall Brands - ShopSimon,Coral Gables,Florida,USA,https://shop.simon.com/collections/curated-all-mall-brands?Brand=Rhude,@shopsimon,,5887914853,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Hall of Fame Miami (@halloffamemiami) · Coral Gables, FL",Coral Gables,Florida,USA,https://www.instagram.com/halloffamemiami/,@halloffamemiami,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Shops at Merrick Park,Coral Gables,Florida,USA,https://www.shopsatmerrickpark.com/en/,@shopsatmerrickpark,merrickparkadmin@brookfieldproperties.com,1727116001,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
"Shops At Merrick Park, Coral Gables",Coral Gables,Florida,USA,https://www.lafayette148ny.com/our-stores/merrick-park-coral-gables?srsltid=AfmBOopeYQbglDRFhcGVmzbE92hQcykRtY8EJyY4LMvI0kYSHaLVcFtE,@lafayette148.com.,rocio.espinoza@lafayette148.com,1775628494,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
We are Coral Gables' #1 Streetwear Shop!🏆👟 ... And the ...,Coral Gables,Florida,USA,https://www.instagram.com/p/CZml10DLkuc/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"LUXE MIAMI (@luxe.mia) · Coral Gables, FL",Coral Gables,Florida,USA,https://www.instagram.com/luxe.mia/?hl=en,@luxe.mia,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
SoleFly: Sneakers and Apparel,Coral Gables,Florida,USA,https://www.solefly.com/?srsltid=AfmBOoqYxTOnmJz8sVQ_AsiC3Tr_3oBSsstvEpaTfpabaXpYnWZfF4Ez,@solefly,,1000005370,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"FootWorks Miami – Official Miami Running Store, Running ...",Coral Gables,Florida,USA,https://footworksmiami.com/,@footworksmiami,shop@footworksmiami.com,305.667.9322,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
SPARKITUP ⚡️⚡️⚡️ (@sparkitupshop),Wynwood,Florida,USA,https://www.instagram.com/sparkitupshop/,@sparkitupshop,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Supreme has officially opened its first-ever Florida flagship ...,Wynwood,Florida,USA,https://www.instagram.com/p/DJsOD_ounJT/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Located 238 NW 25th St Miami, Fl 33137 +1 (305) 522-9127 ...",Wynwood,Florida,USA,https://www.instagram.com/reel/CnSt34bDmGl/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
wynwoodtribe – Opening Soon,Wynwood,Florida,USA,https://www.wynwoodtribe.com/?srsltid=AfmBOoqI7BXw8oROKxTqPRodHx_eZWKPLKCxUFepzZUwULMDkaDT3x8z,,,1614306724,,,2026-04-16,,,,,,18,C-Tier,,,Contact:8/Brand:5/Market:5/Reach:0
"Best Shopping in Wynwood, from Funky Gift ...",Wynwood,Florida,USA,https://www.timeout.com/miami/shopping/shopping-wynwood,@ofyshop,,1105237622,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
canvas.mia,Wynwood,Florida,USA,https://www.instagram.com/canvas.mia/,@oasiswynwood.,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
BASE Superstore,Wynwood,Florida,USA,https://www.baseworld.com/,@basesuperstore,Home_Page_Scense_Final_1280x@2x.jpg,2398522661,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Sole Garden,Wynwood,Florida,USA,https://thesolegarden.com/,@sole.garden,,1758437429,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Token Miami,Wynwood,Florida,USA,https://tokenmia.com/?srsltid=AfmBOorLrAC0ZKmNB5EvvWUmoHbX9IEX3Rm2qh0_x19Ob7Kc1TS0hVAe,@tokenmiami,Info@Tokenmia.com,1624068774,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
A Look Inside LeBron James' New UNKNWN Store in Miami,Wynwood,Florida,USA,https://hypebeast.com/2019/12/unknwn-wynwood-miami-store-opening-info,,,,,,2026-04-16,,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Fresh Society Online,Wynwood,Florida,USA,https://freshsociety.co/,@freshsocietyco,,9027215208,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
SOLD IN THE MATTER OF SECONDS SWING BY THE SHOP ...,Wynwood,Florida,USA,https://www.instagram.com/reel/DOCADg1kfGV/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"OutOfPocketMiami (@outofpocketmiami) · Miami, FL",Wynwood,Florida,USA,https://www.instagram.com/outofpocketmiami/,@elleven15vintage,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Wynwood Shop | Your One Stop Shop For All Things Wynwood,Wynwood,Florida,USA,https://wynwoodshop.com/?srsltid=AfmBOoqOFQgdCBygAD1dc0rnwp7iuX0AoNamIqtv71PlATvxVdC1fQ5n,@wynwoodshop,info@wynwoodshop.com,9938472155,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
Wynwood's Top Shopping Destinations - Miami,Wynwood,Florida,USA,https://manawynwood.com/news/wynwoods-top-shopping-destinations/,@ManaWynwood,,305-573-0371,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
305 Kicks,Wynwood,Florida,USA,https://305kicks.us/,@theme,,1771948554,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Unleash Your Creativity: Custom Sneaker Art Workshops in ...,Wynwood,Florida,USA,https://kickartworkshop.com/,@GrailsMiami,,1727404668,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
DAILYMIA,Wynwood,Florida,USA,https://dailymia.com/?srsltid=AfmBOooXEsijFtVPENqaVqEb8Fd8T5qIK6eooHQiojokBMVgaeHQkwBW,@dailymia,,1694546870,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Sneakerbuyers on Instagram: ""#1 - Sneaker Store Located in ...",Wynwood,Florida,USA,https://www.instagram.com/reel/C2I1H7FLGzp/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"Best Shopping in Wynwood, from Funky Gift ... - Time Out",Wynwood,Florida,USA,https://www.timeout.com/miami/shopping/shopping-wynwood,@ofyshop,,1105237622,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
"JSN on Instagram: ""☄️HELLSTAR☄️ THE HOTTEST ...",Fort Myers,Florida,USA,https://www.instagram.com/reel/C7PJD_us75v/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Edison Mall | Visit Fort Myers | SW Florida,Fort Myers,Florida,USA,https://www.visitfortmyers.com/listing/edison-mall/39829,@visitfortmyers,sberthold@simon.com,2014042207,,,2026-04-16,,,,,,60,B-Tier,,,Contact:30/Brand:5/Market:5/Reach:20
🚨Brand new Hellstar available now @ Kicks in the 216!!! ...,Fort Myers,Florida,USA,https://www.instagram.com/p/DMiqIqfJyTw/,@rsrc.php,,1037483433,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
Hellstar Men's T-Shirt Size Small 1.1 NFC,Fort Myers,Florida,USA,https://www.ebay.com/itm/388636181920,@ebay,,2026041419,,,2026-04-16,,,,,,38,C-Tier,,,Contact:18/Brand:5/Market:5/Reach:10
